pitch_type,release_speed,release_spin_rate,release_pos_z,release_pos_x,spin_axis,SeamLat,SeamLon,pfx_x,pfx_z
FF,94.9,2378,6.2,-1.9,208,-3.6443552227007303,60.77561496181195,-0.68,1.26
FF,93.5,2355,6.22,-1.88,213,-5.028793995881393,60.044900347148385,-0.81,1.24
FF,93.0,2339,6.2,-2.18,200,-3.753236270126257,67.28272180971913,-0.51,1.43
FF,94.8,2335,6.16,-2.18,208,-1.915805029675171,59.72154831201712,-0.72,1.34
FF,94.9,2283,6.07,-1.96,205,-4.059237292596006,60.40168581492338,-0.65,1.41
FF,95.1,2306,6.28,-2.94,204,-3.7114732024069332,67.94054567535892,-0.54,1.19
FF,93.8,2421,6.33,-2.93,209,-4.163599692658008,57.490582472336186,-0.78,1.39
FF,94.3,2472,6.32,-2.79,204,-4.149346247834119,64.58406545406939,-0.6,1.33
FF,93.4,2265,6.15,-3.0,197,-3.1329747983251153,68.17719682909431,-0.44,1.47
FF,93.7,2348,6.15,-3.1,194,-3.5567549834718157,70.03758753515775,-0.38,1.54
FF,93.1,2304,6.14,-3.0,195,-4.770517577533317,73.81636437677058,-0.36,1.36
FF,94.4,2358,6.12,-3.03,193,-2.8531257626107087,74.7857524255832,-0.32,1.34
FF,94.2,2378,6.07,-2.95,199,-4.419105178116841,63.68989591813282,-0.51,1.52
FF,93.3,2396,6.25,-2.92,205,-5.940023326950578,65.26574413776305,-0.61,1.31
FF,92.8,2469,6.22,-2.11,199,-3.011357854440329,68.3529664567742,-0.5,1.43
FF,93.5,2380,6.14,-2.11,202,-2.7613471252941113,65.87445006064844,-0.56,1.4
FF,92.9,2353,6.19,-1.96,209,-1.6856038399981317,61.53627092232371,-0.74,1.33
FF,93.5,2370,6.21,-2.63,198,-4.3286439141225355,73.3033479221281,-0.4,1.23
FF,95.0,2269,6.13,-2.78,198,-4.0892976066592865,70.99467465613074,-0.42,1.31
FF,92.9,2384,6.25,-2.83,198,-3.873019683679177,68.35421413320762,-0.47,1.45
FF,94.7,2391,6.12,-2.93,200,-3.445418367381928,67.72252470523148,-0.48,1.35
FF,94.2,2352,6.16,-3.1,199,-4.722417835475014,68.79016324830577,-0.47,1.34
FF,92.9,2422,6.2,-1.91,200,-2.7391017847538945,66.06579184111695,-0.52,1.45
FF,93.0,2288,6.14,-1.97,211,-3.6455223624119215,59.66101870045394,-0.78,1.3
FF,95.5,2273,6.04,-1.81,205,-2.8186634804715704,63.29276073799453,-0.61,1.29
FF,94.6,2384,6.16,-1.86,199,-3.1057344664082422,71.88962327867328,-0.42,1.26
FF,94.5,2280,6.07,-1.88,209,-3.3347663170412014,66.83228439036647,-0.62,1.11
FF,95.0,2237,6.04,-1.94,196,-2.582143335269297,72.35358953645104,-0.37,1.34
FF,95.2,2296,6.0,-1.95,202,-1.799451965695579,67.74481005783134,-0.52,1.25
FF,93.4,2298,6.19,-2.08,198,-2.6895771910006467,69.74364758672374,-0.45,1.43
FF,94.5,2280,6.11,-2.03,197,-2.923195479636815,71.23816911815548,-0.41,1.34
FF,93.3,2313,6.33,-2.88,193,-3.3749165882366725,73.52362120096828,-0.35,1.49
FF,93.1,2369,6.29,-2.86,190,-3.062256093894442,80.46822044576615,-0.23,1.24
FF,93.0,2375,6.31,-2.84,192,-4.873182273776933,78.58330253146406,-0.27,1.25
