pitch_type,release_speed,release_spin_rate,release_pos_z,release_pos_x,spin_axis,SeamLat,SeamLon,pfx_x,pfx_z
FF,93.3,2265,6.15,-2.64,210,-4.1756318761867055,71.49240800789414,-0.45,1.26
FF,91.9,2233,6.09,-2.66,211,-2.999557214859899,79.4180222864954,-0.29,1.13
FF,92.2,2148,6.19,-2.58,215,-4.789762753459036,64.11311297487791,-0.68,1.27
FF,92.6,2179,6.19,-2.83,215,-2.4620219179292646,62.76085718273332,-0.71,1.27
FF,90.0,2160,6.24,-2.58,212,-4.022149983468921,78.04776998523414,-0.31,1.32
FF,89.3,2180,6.27,-2.65,209,-3.042377653210895,73.28124718621255,-0.46,1.29
FF,89.4,2188,6.26,-2.65,209,-2.8662131747109347,74.14657762760362,-0.44,1.27
FF,92.4,2199,6.13,-2.64,218,-3.256281578429557,60.725875323387214,-0.82,1.18
FF,90.7,2165,6.12,-2.56,218,-3.7950190233395125,75.33242954745032,-0.39,1.26
FF,91.0,2214,6.29,-2.56,216,-3.2545857198118395,71.2644805428812,-0.45,1.42
FF,89.7,2204,6.21,-2.71,211,-3.8134153332925482,74.76304382526278,-0.41,1.3
FF,89.7,2219,6.4,-2.66,215,-3.495973164881333,71.62957647278748,-0.37,1.69
FF,92.6,2294,6.15,-2.63,219,-3.691922069456461,63.51312792482802,-0.49,1.66
FF,91.0,2233,6.28,-2.81,213,-3.4099071627253124,73.44861352302944,-0.42,1.34
FF,91.6,2293,6.26,-2.71,221,-4.843150292227053,60.57735407919658,-0.7,1.47
FF,90.1,2164,6.09,-2.86,218,-2.972218648692509,72.6625678235518,-0.51,1.16
FF,91.7,2240,6.17,-2.84,218,-3.285155633171062,64.63810820924759,-0.63,1.36
FF,91.9,2203,6.18,-2.66,215,-3.217576002597952,72.07758299064342,-0.46,1.25
FF,92.0,2223,6.04,-2.81,222,-3.7271812283900676,63.09109917495239,-0.66,1.39
FF,90.4,2235,6.16,-2.78,217,-2.89951339605859,68.66403974749844,-0.54,1.36
FF,91.8,2164,6.34,-2.56,213,-3.7114988086859686,70.654568002562,-0.52,1.23
FF,91.5,2192,6.09,-2.75,208,-2.60352823344967,73.15722970697976,-0.45,1.21
FF,92.6,2267,6.04,-2.85,210,-2.0160220703868683,68.36943225717206,-0.56,1.23
FF,91.4,2318,5.84,-3.1,224,-2.7812360099383624,65.95382950310947,-0.66,1.21
FF,91.9,2346,5.94,-2.93,217,-2.8272418496491496,77.42170418107324,-0.29,1.39
FF,91.5,2195,6.06,-2.62,208,-2.6076848273780375,73.47975099635055,-0.44,1.2
FF,91.3,2184,6.08,-2.73,210,-2.590652298167828,76.9915351795577,-0.31,1.39
FF,92.1,2095,6.06,-2.72,206,-1.9703601042134982,81.79422545148947,-0.24,0.99
FF,91.0,2105,6.06,-2.73,209,-2.1887779592074206,75.16318618948188,-0.39,1.25
FF,91.6,2259,6.02,-2.84,213,-3.9280660002928873,69.34003952491601,-0.5,1.37
FF,91.2,2413,6.16,-2.83,217,-4.765515199918393,68.6451953284584,-0.49,1.48
FF,91.9,2269,6.14,-2.87,216,-3.465550332754414,67.57255583324293,-0.58,1.29
FF,91.1,2189,6.18,-2.77,212,-4.039683508221682,68.87316436164257,-0.53,1.36
FF,91.3,2309,6.11,-2.79,217,-4.71582821282766,66.49423517502517,-0.58,1.39
FF,93.5,2247,6.08,-2.86,215,-4.8194341203146145,66.03994856206126,-0.54,1.4
