,release_speed,pitch_type,release_spin_rate,release_extension,vy0,vx0,vz0,ax,az,ay,yR,tR,vxR,vyR,vzR,tf,vxbar,vybar,vzbar,vbar,adrag,amagx,amagy,amagz,amag,Cl,s,spinT,spin_efficiency
75,92.1,FF,2358.0,6.6,-133.88937550953747,-6.098806494361148,-6.965681058015744,-4.061787263111835,-10.581902183731795,30.99727384094772,53.9,-0.029030965164057076,-5.980888889821938,-134.78925628659476,-6.658478224350367,0.40856726304569907,-6.81064554240368,-128.45702061905774,-8.82018763086267,128.93946932135603,32.143768137879704,-5.759636745016353,-1.0262229843019668,19.39328260761831,20.256504124527584,0.22634367348736706,0.18588015824539664,1891.4984448440364,0.8021621903494641
76,92.3,FF,2537.0,6.4,-134.12194365625894,-4.097965566038228,-8.371740587783695,2.1735836237129105,-10.790153080986284,29.347046015351246,54.1,-0.030467638588203533,-4.1641895263267505,-135.01607884788604,-8.042990103400813,0.4083201170824092,-3.720430566465319,-129.02458421538051,-10.245908388083532,129.48422133313662,30.99739854189193,1.2829448429501342,-1.540319390633904,18.93106539506241,19.036905428334318,0.21092996164830136,0.164047387278254,1676.3829842170805,0.6607737423007807
77,92.6,FF,2385.0,6.3,-134.6996415762829,-3.4835713711810685,-7.310463500918559,1.942202763108679,-8.950879647188318,30.12564075831033,54.2,-0.031072516442461062,-3.5439204984723562,-135.63572104408516,-7.032337145906809,0.4076058097732223,-3.148093933472005,-129.49602794597104,-8.856552419294234,129.83670617338296,31.67780482290129,1.174124858733054,-1.4690447471542178,21.062281964262727,21.146072524115283,0.23302920785412343,0.19632252003556824,2011.660489029091,0.8434635174126167
78,92.3,FF,2409.0,6.4,-134.14311525948852,0.6981328494926436,-8.620893197908511,-2.4101306453200424,-9.32411558321147,30.90780475789275,54.1,-0.03045750081892724,0.7715394055962005,-135.0844897482133,-8.336903939897075,0.40915453401730895,0.27848146504282145,-128.7614555216065,-10.244406023183284,129.1686410656118,32.627800084422816,-2.3397866555275124,-1.6171408843259165,20.26216321022806,20.46081631292023,0.22781609093349492,0.1881242342099859,1917.7364029338548,0.7960715661825881
79,91.5,FF,2499.0,6.3,-133.05460891036006,-1.2027213158775254,-7.86547482274898,1.3838873846104842,-9.636754044266876,31.46567325064493,54.2,-0.03144903883734332,-1.24624324398265,-134.04417409046275,-7.562408170544906,0.4138809323900439,-0.9598609434499468,-127.53265299883405,-9.556642545072256,127.89381662412792,33.07125897634047,1.1356829703548617,-1.5121946916314677,20.066053767597474,20.1549751277114,0.22890685105668093,0.18980641745423962,1915.7882993182025,0.7666219685146869
80,91.5,FF,2514.0,6.3,-132.87584087927218,-5.623939565158929,-8.2217722383784,0.2902167732190375,-9.478156494475972,31.66631508824849,54.2,-0.0314902935128018,-5.633078576529934,-133.87302243586998,-7.923302308407083,0.4146098531963397,-5.572915209660204,-127.3084393108661,-9.88817084478039,127.81342662787077,33.309699899722986,-1.1621512455248133,-1.5117791075482145,20.11886851872712,20.209031200463897,0.22980959535527556,0.191211649558999,1928.758721871653,0.7672071288272287
81,90.6,FF,2473.0,6.4,-131.80247234283428,-2.15778687296442,-6.757922087184652,-2.4643285993597464,-11.653161135344565,30.429840930988863,54.1,-0.030996247102211643,-2.0814019347576185,-132.7456832116122,-6.396717825111623,0.4167841968943158,-2.5949485428415415,-126.40434480459021,-8.825144527648941,126.73861021548097,31.72804768376382,-3.1139542419654833,-1.214525948024587,18.311531015111484,18.614079413628538,0.21527782733167775,0.1699208117815649,1699.5838328161165,0.6872558968120164
82,93.5,FF,2443.0,6.5,-136.02330461188822,-2.470912988308516,-7.441907960659696,-3.1746849835912,-12.06236138733182,30.046763410650858,54.0,-0.029311831309941458,-2.3778571576072864,-136.90403027239094,-7.088338058474674,0.40180574686787607,-3.015660493058333,-130.86754916580148,-9.51170112158822,131.2474079404972,31.34437834572555,-3.894882090261157,-1.2068974318581382,17.84006339952806,18.300124863159912,0.19735503144719205,0.14694231644781147,1522.035190041212,0.6230189070983266
83,93.3,FF,2408.0,6.4,-135.49922239146318,-4.683831010291451,-9.560754150235033,-3.526130056955848,-11.378292140492464,29.46181748835952,54.1,-0.030159588240019734,-4.577484379692905,-136.3877786757147,-9.217589544403127,0.40389549690461435,-5.289578405445144,-130.4380309686277,-11.515410023408164,131.05214317471973,31.008732286400196,-4.777716766710721,-1.4016074376938015,18.07100410469802,18.744393035367136,0.20274901219620375,0.15352952950798293,1587.8999068169653,0.6594268716017297
84,92.9,FF,2402.0,6.5,-135.13980157229395,-1.2265120376861811,-6.963413502638885,-2.2819591431000026,-11.464805312883074,29.176132641051613,54.0,-0.02950500430916869,-1.1591828233356687,-136.00064349159305,-6.62514437247849,0.40416165375578084,-1.6203230138748794,-130.10470648239033,-8.941961710099934,130.42169595110747,30.496731847968665,-2.6608420896901093,-1.2464770084929455,18.6182802385734,18.848717319781226,0.20585325322973105,0.15744245512303806,1620.5363359754192,0.6746612556100829
